[(42, 'the'
, (1, 'buying'
, (1, 'but'
, (1, 'build'
, (1, 'broke'
, (1, 'broadband'
, (1, 'brings'
, (1, 'bridge'
, (1, 'board'
, (1, 'biggest'
, (1, 'big'
, (1, 'being'
, (1, 'behind'
, (1, 'begins'
, (1, 'been'
, (1, 'ball'
, (1, 'automation'
, (1, 'asset'
, (1, 'arrives'
, (1, 'arm'
, (1, 'are'
, (1, 'appoints'
, (1, 'anticipated'
, (1, 'am'
, (1, 'all'
, (1, 'agency'
, (1, 'ad'
, (1, 'activities'
, (1, 'acquisition'
, (1, 'achievements'
, (1, 'accelerator'
, (1, 'ZeptoExpress'
, (1, 'Zenfone'
, (1, 'Your'
, (1, 'Xiaomi'
, (1, 'XPS'
, (1, 'X'
, (1, 'World'
, (1, 'Will'
, (1, 'Weekly'
, (1, 'Vinesh'
, (1, 'Venture'
, (1, 'UsLogin'
, (1, 'UsContact'
, (1, 'Us'
, (1, 'Updated'
, (1, 'Unlocking'
, (1, 'Twitter'
, (1, 'Top'
, (1, 'This'
, (1, 'Thiruchelvam'
, (1, 'There'
, (1, 'TechStartupsEntrepreneurial'
, (1, 'TechNational'
, (1, 'Tech'
, (1, 'Tau'
, (1, 'TVs'
, (1, 'Swift'
, (1, 'Surina'
, (1, 'Summit'
, (1, 'Subramaniam'
, (1, 'Stories'
, (1, 'Stephen'
, (1, 'Stay'
, (1, 'Startup'
, (1, 'Southeast'
, (1, 'Skip'
, (1, 'Site'
, (1, 'Singapore'
, (1, 'Sidec'
, (1, 'Shukri'
, (1, 'Shawn'
, (1, 'Series'
, (1, 'Selangor'
, (1, 'ScaleUp'
, (1, 'Save'
, (1, 'Sandbox'
, (1, 'Sale'
, (1, 'SNAP'
, (1, 'SMEs'
, (1, 'SME'
, (1, 'SEA'
, (1, 'Revolutionising'
, (1, 'Related'
, (1, 'Regulatory'
, (1, 'RM49'
, (1, 'RHB'
, (1, 'Pt3'
, (1, 'Pt2'
, (1, 'Prof'
, (1, 'Pro'
, (1, 'Prior'
, (1, 'Poco'
, (1, 'PersonalTech'
, (1, 'PSI'
, (1, 'POS'
, (1, 'Ouch'
, (1, 'Other'
, (1, 'OnePlus'
, (1, 'On'
, (1, 'October'
, (1, 'November'
, (1, 'Nationby'
, (1, 'NationNational'
, (1, 'Nasional'
, (1, 'Name'
, (1, 'MyGroser'
, (1, 'Murugappan'
, (1, 'Most'
, (1, 'Morten'
, (1, 'Monk'
, (1, 'Minimal'
, (1, 'Microsoft'
, (1, 'Merchantrade'
, (1, 'Map'
, (1, 'Malaysians'
, (1, 'MaGICStartups'
, (1, 'MPL'
, (1, 'MDECInsights'
, (1, 'MCO'
, (1, 'M3'
, (1, 'Lundal'
, (1, 'LinkedIn'
, (1, 'Lim'
, (1, 'Life'
, (1, 'League'
, (1, 'Lazada'
, (1, 'LabEntrepreneurial'
, (1, 'LabArchive'
, (1, 'Lab'
, (1, 'Kien'
, (1, 'Keyword'
, (1, 'KL'
, (1, 'Italian'
, (1, 'Islamic'
, (1, 'Ir'
, (1, 'Invested'
, (1, 'Internet'
, (1, 'Interactive'
, (1, 'Insights'
, (1, 'Influential'
, (1, 'Inaugural'
, (1, 'Impact'
, (1, 'IDEMIA'
, (1, 'I'
, (1, 'How'
, (1, 'Home'
, (1, 'Hill'
, (1, 'Highlights'
, (1, 'Hero'
, (1, 'Help'
, (1, 'Having'
, (1, 'Hack'
, (1, 'Governance'
, (1, 'GoGet'
, (1, 'Go'
, (1, 'Global'
, (1, 'Futurise'
, (1, 'Francis'
, (1, 'For'
, (1, 'Follow'
, (1, 'Five'
, (1, 'Fintech'
, (1, 'Ficus'
, (1, 'Facebook'
, (1, 'FIKRA'
, (1, 'Eye'
, (1, 'Even'
, (1, 'Entropia'
, (1, 'EntrepreneurialNationby'
, (1, 'Employment'
, (1, 'Eight'
, (1, 'Editor'
, (1, 'Economypowered'
, (1, 'EconomyInsightsBusinessPersonal'
, (1, 'EBN'
, (1, 'Dzof'
, (1, 'Dron'
, (1, 'Download'
, (1, 'Don'
, (1, 'Dell'
, (1, 'December'
, (1, 'DOWNLOAD'
, (1, 'D'
, (1, 'Cyberview'
, (1, 'Company'
, (1, 'Commerce'
, (1, 'Coaching'
, (1, 'Champions'
, (1, 'Chairman'
, (1, 'Capital'
, (1, 'COVID'
, (1, 'CLLA'
, (1, 'CEO'
, (1, 'But'
, (1, 'BusinessPersonal'
, (1, 'Business'
, (1, 'Bhd'
, (1, 'Azmi'
, (1, 'Author'
, (1, 'Asian'
, (1, 'As'
, (1, 'Anticipating'
, (1, 'Alpha'
, (1, 'Alienware'
, (1, 'Aerodyne'
, (1, 'Acer'
, (1, 'Accenture'
, (1, 'Accelerator'
, (1, 'About'
, (1, 'ASUS'
, (1, 'AIM'
, (1, 'A'
, (1, '91'
, (1, '900mil'
, (1, '8mil'
, (1, '86'
, (1, '8'
, (1, '5mil'
, (1, '500'
, (1, '50'
, (1, '4K'
, (1, '42'
, (1, '364K'
, (1, '32'
, (1, '300'
, (1, '29'
, (1, '23'
, (1, '22'
, (1, '2030'
, (1, '2025'
, (1, '2019'
, (1, '20'
, (1, '15'
, (1, '14'
, (1, '1337'
, (1, '13'
, (1, '12'
, (1, '112'
, (1, '102'
, (1, '100'
]
