[(24, 'the'
, (1, 'us'
, (1, 'upgraded'
, (1, 'unlock'
, (1, 'uncertainties'
, (1, 'trading'
, (1, 'traded'
, (1, 'trade'
, (1, 'traction'
, (1, 'title'
, (1, 'than'
, (1, 'technology'
, (1, 'technical'
, (1, 'team'
, (1, 'target'
, (1, 'tandem'
, (1, 'surge'
, (1, 'success'
, (1, 'substantial'
, (1, 'stood'
, (1, 'stock'
, (1, 'stick'
, (1, 'stand'
, (1, 'speed'
, (1, 'solutions'
, (1, 'soared'
, (1, 'so'
, (1, 'should'
, (1, 'sheet'
, (1, 'services'
, (1, 'sees'
, (1, 'second'
, (1, 'scarcity'
, (1, 'same'
, (1, 'rise'
, (1, 'rights'
, (1, 'ride'
, (1, 'rich'
, (1, 'reserved'
, (1, 'reported'
, (1, 'regional'
, (1, 'regain'
, (1, 'record'
, (1, 'reclamaton'
, (1, 'real'
, (1, 'rating'
, (1, 'rapid'
, (1, 'ramai'
, (1, 'raising'
, (1, 'rail'
, (1, 'quarter'
, (1, 'published'
, (1, 'provides'
, (1, 'profitable'
, (1, 'profit'
, (1, 'proactive'
, (1, 'private'
, (1, 'price'
, (1, 'previously'
, (1, 'premium'
, (1, 'potential'
, (1, 'pm'
, (1, 'plays'
, (1, 'phrase'
, (1, 'period'
, (1, 'peranannya'
, (1, 'people'
, (1, 'peers'
, (1, 'part'
, (1, 'outlook'
, (1, 'outfit'
, (1, 'outbreak'
, (1, 'out'
, (1, 'orang'
, (1, 'or'
, (1, 'offer'
, (1, 'off'
, (1, 'nurses'
, (1, 'note'
, (1, 'not'
, (1, 'nonetheless'
, (1, 'news'
, (1, 'new'
, (1, 'network'
, (1, 'net'
, (1, 'nature'
, (1, 'myedge'
, (1, 'my'
, (1, 'mulls'
, (1, 'much'
, (1, 'more'
, (1, 'mopping'
, (1, 'minister'
, (1, 'mile'
, (1, 'message'
, (1, 'menjalankan'
, (1, 'memastikan'
, (1, 'meaningful'
, (1, 'mean'
, (1, 'may'
, (1, 'margins'
, (1, 'malaysia'
, (1, 'mainly'
, (1, 'lustre'
, (1, 'lucas'
, (1, 'lost'
, (1, 'longer'
, (1, 'lockdown'
, (1, 'listed'
, (1, 'lifted'
, (1, 'licence'
, (1, 'lebih'
, (1, 'large'
, (1, 'key'
, (1, 'justified'
, (1, 'issues'
, (1, 'intra'
, (1, 'innovative'
, (1, 'indicating'
, (1, 'increase'
, (1, 'inbox'
, (1, 'imputing'
, (1, 'house'
, (1, 'hot'
, (1, 'historical'
, (1, 'high'
, (1, 'heightened'
, (1, 'healthcare'
, (1, 'has'
, (1, 'half'
, (1, 'greater'
, (1, 'good'
, (1, 'go'
, (1, 'get'
, (1, 'future'
, (1, 'funds'
, (1, 'fuel'
, (1, 'forward'
, (1, 'forecasted'
, (1, 'first'
, (1, 'financial'
, (1, 'filing'
, (1, 'factors'
, (1, 'facing'
, (1, 'expected'
, (1, 'exchange'
, (1, 'ever'
, (1, 'estate'
, (1, 'enough'
, (1, 'ended'
, (1, 'email'
, (1, 'either'
, (1, 'edge'
, (1, 'ecosystem'
, (1, 'economic'
, (1, 'during'
, (1, 'drop'
, (1, 'driving'
, (1, 'drive'
, (1, 'down'
, (1, 'digital'
, (1, 'developing'
, (1, 'despite'
, (1, 'deliver'
, (1, 'deaths'
, (1, 'dalam'
, (1, 'daily'
, (1, 'customers'
, (1, 'cumulative'
, (1, 'cross'
, (1, 'courier'
, (1, 'country'
, (1, 'counter'
, (1, 'costs'
, (1, 'corporate'
, (1, 'coordinating'
, (1, 'contributor'
, (1, 'contributions'
, (1, 'contribution'
, (1, 'contribute'
, (1, 'continues'
, (1, 'continue'
, (1, 'content'
, (1, 'consumer'
, (1, 'company'
, (1, 'commenting'
, (1, 'cautious'
, (1, 'cash'
, (1, 'cases'
, (1, 'carrot'
, (1, 'calls'
, (1, 'buy'
, (1, 'but'
, (1, 'brunt'
, (1, 'bid'
, (1, 'beyond'
, (1, 'being'
, (1, 'bear'
, (1, 'be'
, (1, 'base'
, (1, 'balance'
, (1, 'average'
, (1, 'audit'
, (1, 'at'
, (1, 'arrow'
, (1, 'arm'
, (1, 'arising'
, (1, 'are'
, (1, 'anticipates'
, (1, 'announcing'
, (1, 'all'
, (1, 'alert'
, (1, 'ago'
, (1, 'after'
, (1, 'administered'
, (1, 'across'
, (1, 'according'
, (1, 'abrupt'
, (1, 'Ying'
, (1, 'Yi'
, (1, 'World'
, (1, 'Working'
, (1, 'With'
, (1, 'Wealth'
, (1, 'We'
, (1, 'Ways'
, (1, 'Watched'
, (1, 'Vietnam'
, (1, 'Videos'
, (1, 'Vaccination'
, (1, 'VSS'
, (1, 'Update'
, (1, 'UPSTART'
, (1, 'UEM'
, (1, 'Trending'
, (1, 'Tracker'
, (1, 'Towards'
, (1, 'Title'
, (1, 'Term'
, (1, 'Technology'
, (1, 'Talking'
, (1, 'Takeaway'
, (1, 'TV'
, (1, 'Syed'
, (1, 'Sustainability'
, (1, 'Sunway'
, (1, 'Sunrise'
, (1, 'Sunday'
, (1, 'Subscription'
, (1, 'Subscribe'
, (1, 'Story'
, (1, 'Stories'
, (1, 'Start'
, (1, 'Speaking'
, (1, 'South'
, (1, 'Sitemap'
, (1, 'Singapore'
, (1, 'Shares'
, (1, 'Sections'
, (1, 'Search'
, (1, 'Sdn'
, (1, 'Sarawak'
, (1, 'SG'
, (1, 'SC'
, (1, 'SAP'
, (1, 'Report'
, (1, 'Recovery'
, (1, 'Reader'
, (1, 'Read'
, (1, 'RM170'
, (1, 'RM17'
, (1, 'RM157'
, (1, 'RM10'
, (1, 'Politics'
, (1, 'Policy'
, (1, 'PlanThe'
, (1, 'Penang'
, (1, 'Particularly'
, (1, 'Paper'
, (1, 'Palms'
, (1, 'PICK'
, (1, 'PEMERKASA'
, (1, 'PDPA'
, (1, 'Others'
, (1, 'Options'
, (1, 'Opinion'
, (1, 'Oil'
, (1, 'Now'
, (1, 'Nevertheless'
, (1, 'Netco'
, (1, 'NUBE'
, (1, 'Mokhtar'
, (1, 'Mid'
, (1, 'Meanwhile'
, (1, 'Markets'
, (1, 'Male'
, (1, 'MalaysiaCorporate'
, (1, 'MY'
, (1, 'MSS'
, (1, 'MMC'
, (1, 'MAS'
, (1, 'Lai'
, (1, 'LUMPUR'
, (1, 'Khairy'
, (1, 'Kadier'
, (1, 'KUALA'
, (1, 'JustSaying'
, (1, 'June'
, (1, 'Join'
, (1, 'Jamaluddin'
, (1, 'It'
, (1, 'Islands'
, (1, 'Iris'
, (1, 'Indonesian'
, (1, 'Indonesia'
, (1, 'IHH'
, (1, 'Heineken'
, (1, 'Healthcare'
, (1, 'Green'
, (1, 'Govt'
, (1, 'Going'
, (1, 'Glove'
, (1, 'Genting'
, (1, 'GD'
, (1, 'From'
, (1, 'Frankly'
, (1, 'FY21F'
, (1, 'FY21'
, (1, 'FMCO'
, (1, 'Enterprise'
, (1, 'End'
, (1, 'Electric'
, (1, 'Ekovest'
, (1, 'Edition'
, (1, 'EdgeProp'
, (1, 'Economy'
, (1, 'Doses'
, (1, 'DigitalEdge'
, (1, 'Desktop'
, (1, 'Dec'
, (1, 'DPI'
, (1, 'Cycle'
, (1, 'Country'
, (1, 'Corporate'
, (1, 'Content'
, (1, 'Contact'
, (1, 'Communications'
, (1, 'Combine'
, (1, 'City'
, (1, 'Chinese'
, (1, 'Changing'
, (1, 'Carrier'
, (1, 'Carriage'
, (1, 'Branded'
, (1, 'Bintang'
, (1, 'Bhattacharjee'
, (1, 'Besides'
, (1, 'Berhad'
, (1, 'Behind'
, (1, 'Axiata'
, (1, 'Aviation'
, (1, 'Automotive'
, (1, 'Author'
, (1, 'As'
, (1, 'Another'
, (1, 'Annual'
, (1, 'All'
, (1, 'Advertise'
, (1, 'About'
, (1, 'Abdul'
, (1, '82'
, (1, '80'
, (1, '8'
, (1, '70'
, (1, '7'
, (1, '68'
, (1, '63'
, (1, '54'
, (1, '50'
, (1, '44'
, (1, '42'
, (1, '40'
, (1, '32'
, (1, '26pm'
, (1, '2020Economic'
, (1, '2019'
, (1, '200'
, (1, '1MDB'
, (1, '17'
, (1, '16'
, (1, '15'
, (1, '12'
, (1, '11'
, (1, '100'
, (1, '08'
, (1, '000'
]
